squareMeters,numberOfRooms,hasYard,hasPool,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,garage,hasStorageRoom,price
75523,3,0,1,3,8,2005,0,1,4313,956,0,7559081.5
80771,39,1,1,8,6,2015,1,0,3653,128,1,8085989.5
55712,58,0,1,6,8,2021,0,0,2937,135,1,5574642.1
32316,47,0,0,10,4,2012,0,1,659,359,0,3232561.2
70429,19,1,1,3,7,1990,1,0,8435,292,1,7055052.0
39223,36,0,1,8,6,2012,0,1,2009,757,0,3926647.2
58682,10,1,1,10,9,1995,1,1,5930,848,0,5876376.5
86929,100,1,0,3,4,2003,1,0,6326,654,0,8696869.3
51522,3,0,0,8,3,2012,1,1,632,807,1,5154055.2
39686,42,0,0,5,8,2021,1,1,5198,591,1,3970892.1
23563,21,0,1,6,8,1993,1,0,703,684,1,2366397.3
96470,74,1,0,4,2,2011,1,1,5414,716,1,9652258.1
19127,31,1,0,2,9,2008,0,0,5387,374,0,1914688.8
13087,44,1,0,8,4,2004,1,0,1745,582,0,1320803.4
79770,3,0,1,10,5,2018,0,1,8871,240,0,7986665.8
75985,60,1,0,6,9,2009,1,1,4878,384,1,7607322.9
64169,88,0,1,3,9,2011,1,1,3054,726,0,6420823.1
99371,31,1,1,7,8,2013,1,1,3258,354,1,9944705.3
25966,37,1,1,3,1,2016,0,0,8257,162,0,2604486.6
41792,43,1,1,9,5,2017,1,1,2950,572,1,4187667.7
28795,64,1,1,3,4,2009,1,1,9862,330,1,2888047.9
92383,12,0,0,3,7,2000,0,0,7507,892,1,9244344.0
33279,64,1,0,3,2,2019,1,1,2427,732,0,3333351.9
34782,47,0,0,1,4,2020,0,1,9586,822,0,3482594.0
13386,51,0,0,4,6,1993,0,0,2885,904,1,1342509.3
20883,56,0,0,5,9,2018,0,0,9982,670,1,2091505.8
95121,46,0,1,7,9,1994,0,0,615,328,0,9515440.4
6071,72,1,0,2,6,2003,1,1,3306,295,0,612471.3
11844,43,0,0,6,5,1993,1,0,5292,395,0,1189939.3
52078,7,1,1,10,4,2016,1,1,1864,558,0,5217708.6
25897,98,1,0,2,4,1993,0,1,9799,116,1,2598763.3
85443,40,1,1,3,1,2021,1,0,3056,292,1,8555234.1
11412,78,0,0,1,5,2009,1,1,6899,695,0,1145642.9
97550,89,1,1,2,5,2014,1,0,5391,388,0,9765099.4
76485,47,1,0,2,9,2008,1,0,2860,982,0,7653300.8
26169,29,0,0,9,7,1993,0,1,7918,919,1,2622399.3
24239,87,1,0,4,7,1998,0,0,6656,698,0,2427801.8
36239,8,0,1,7,6,1990,0,1,6679,798,1,3627708.0
10500,88,0,1,10,1,2013,1,1,4170,422,0,1057021.3
87060,27,0,1,8,10,2000,0,0,6629,512,0,8711426.0
66683,19,1,1,6,2,2001,0,0,7473,237,1,6677649.1
66569,59,1,1,7,9,2016,1,1,2020,269,1,6667802.6
84559,29,0,1,7,7,2000,1,0,3573,918,1,8460604.0
28749,39,0,1,6,5,1996,1,0,8113,982,1,2877997.6
76091,38,1,0,5,8,2016,1,0,8150,930,0,7614076.6
92696,49,1,0,9,2,2021,0,0,1559,957,1,9272740.1
46988,66,1,1,9,10,1991,1,1,8339,874,1,4707341.1
